"userid","variant","age","install_source","device_linked","week","hit_streak","claimed_reward","exercise_mins","days_exercised"
602,"Increased Rewards",27,"referred","Applewatch",2021-03-01,1,1,363,7
602,"Increased Rewards",27,"referred","Applewatch",2021-03-08,1,0,150,3
602,"Increased Rewards",27,"referred","Applewatch",2021-03-15,1,1,525,7
602,"Increased Rewards",27,"referred","Applewatch",2021-03-22,1,0,458,7
603,"Increased Rewards",30,"organic","Applewatch",2021-03-01,1,0,383,7
603,"Increased Rewards",30,"organic","Applewatch",2021-03-08,1,0,353,7
603,"Increased Rewards",30,"organic","Applewatch",2021-03-15,0,0,114,2
603,"Increased Rewards",30,"organic","Applewatch",2021-03-22,1,0,542,7
768,"Control",36,"referred","Garmin",2021-03-01,1,1,592,7
768,"Control",36,"referred","Garmin",2021-03-08,1,1,359,7
768,"Control",36,"referred","Garmin",2021-03-15,1,0,150,3
768,"Control",36,"referred","Garmin",2021-03-22,1,0,374,7
709,"Increased Rewards",17,"referred","Applewatch",2021-03-01,1,0,521,7
709,"Increased Rewards",17,"referred","Applewatch",2021-03-08,1,0,318,6
709,"Increased Rewards",17,"referred","Applewatch",2021-03-15,1,0,262,5
709,"Increased Rewards",17,"referred","Applewatch",2021-03-22,1,0,370,7
91,"Increased Rewards",24,"referred","Applewatch",2021-03-01,1,0,350,7
91,"Increased Rewards",24,"referred","Applewatch",2021-03-08,1,0,215,4
91,"Increased Rewards",24,"referred","Applewatch",2021-03-15,1,0,279,6
91,"Increased Rewards",24,"referred","Applewatch",2021-03-22,0,0,107,2
953,"Increased Rewards",18,"referred","Applewatch",2021-03-01,1,0,558,7
953,"Increased Rewards",18,"referred","Applewatch",2021-03-08,1,0,559,7
953,"Increased Rewards",18,"referred","Applewatch",2021-03-15,1,0,254,5
953,"Increased Rewards",18,"referred","Applewatch",2021-03-22,1,0,191,4
348,"Control",39,"referred","Applewatch",2021-03-01,1,0,150,3
348,"Control",39,"referred","Applewatch",2021-03-08,1,0,150,3
348,"Control",39,"referred","Applewatch",2021-03-15,0,0,31,1
348,"Control",39,"referred","Applewatch",2021-03-22,1,0,616,7
649,"Increased Rewards",41,"organic","Applewatch",2021-03-01,1,1,150,3
649,"Increased Rewards",41,"organic","Applewatch",2021-03-08,1,0,174,3
649,"Increased Rewards",41,"organic","Applewatch",2021-03-15,1,0,150,3
649,"Increased Rewards",41,"organic","Applewatch",2021-03-22,1,0,455,7
355,"Control",36,"referred","Applewatch",2021-03-01,0,0,0,0
355,"Control",36,"referred","Applewatch",2021-03-08,1,0,607,7
355,"Control",36,"referred","Applewatch",2021-03-15,1,0,150,3
355,"Control",36,"referred","Applewatch",2021-03-22,1,0,530,7
840,"Increased Rewards",17,"organic","Applewatch",2021-03-01,1,0,150,3
840,"Increased Rewards",17,"organic","Applewatch",2021-03-08,1,0,322,6
840,"Increased Rewards",17,"organic","Applewatch",2021-03-15,1,0,150,3
840,"Increased Rewards",17,"organic","Applewatch",2021-03-22,1,0,376,7
26,"Control",33,"paid_ad","Garmin",2021-03-01,1,0,329,7
26,"Control",33,"paid_ad","Garmin",2021-03-08,1,0,453,7
26,"Control",33,"paid_ad","Garmin",2021-03-15,1,0,233,5
26,"Control",33,"paid_ad","Garmin",2021-03-22,0,0,40,1
519,"Increased Rewards",40,"organic","Applewatch",2021-03-01,1,0,150,3
519,"Increased Rewards",40,"organic","Applewatch",2021-03-08,1,0,150,3
519,"Increased Rewards",40,"organic","Applewatch",2021-03-15,1,0,150,3
519,"Increased Rewards",40,"organic","Applewatch",2021-03-22,1,0,646,7
426,"Control",30,"referred","Applewatch",2021-03-01,1,0,832,7
426,"Control",30,"referred","Applewatch",2021-03-08,0,0,71,1
426,"Control",30,"referred","Applewatch",2021-03-15,0,0,121,2
426,"Control",30,"referred","Applewatch",2021-03-22,0,0,54,1
979,"Control",23,"referred","Applewatch",2021-03-01,1,0,150,3
979,"Control",23,"referred","Applewatch",2021-03-08,1,0,304,6
979,"Control",23,"referred","Applewatch",2021-03-15,1,0,588,7
979,"Control",23,"referred","Applewatch",2021-03-22,0,0,7,0
766,"Increased Rewards",18,"referred","Applewatch",2021-03-01,1,0,607,7
766,"Increased Rewards",18,"referred","Applewatch",2021-03-08,1,0,501,7
766,"Increased Rewards",18,"referred","Applewatch",2021-03-15,1,0,375,7
766,"Increased Rewards",18,"referred","Applewatch",2021-03-22,1,0,404,7
211,"Control",22,"referred","Applewatch",2021-03-01,1,0,565,7
211,"Control",22,"referred","Applewatch",2021-03-08,1,0,209,4
211,"Control",22,"referred","Applewatch",2021-03-15,0,0,88,2
211,"Control",22,"referred","Applewatch",2021-03-22,1,0,150,3
932,"Control",35,"referred","Applewatch",2021-03-01,1,0,236,5
932,"Control",35,"referred","Applewatch",2021-03-08,1,0,255,5
932,"Control",35,"referred","Applewatch",2021-03-15,1,0,150,3
932,"Control",35,"referred","Applewatch",2021-03-22,1,0,150,3
590,"Increased Rewards",24,"referred","FitBit",2021-03-01,1,0,693,7
590,"Increased Rewards",24,"referred","FitBit",2021-03-08,1,0,395,7
590,"Increased Rewards",24,"referred","FitBit",2021-03-15,1,0,414,7
590,"Increased Rewards",24,"referred","FitBit",2021-03-22,1,0,542,7
593,"Increased Rewards",31,"referred","Applewatch",2021-03-01,1,1,321,6
593,"Increased Rewards",31,"referred","Applewatch",2021-03-08,1,0,531,7
593,"Increased Rewards",31,"referred","Applewatch",2021-03-15,0,0,57,1
593,"Increased Rewards",31,"referred","Applewatch",2021-03-22,1,0,508,7
555,"Increased Rewards",41,"organic","Applewatch",2021-03-01,1,0,150,3
555,"Increased Rewards",41,"organic","Applewatch",2021-03-08,1,0,172,3
555,"Increased Rewards",41,"organic","Applewatch",2021-03-15,1,0,304,6
555,"Increased Rewards",41,"organic","Applewatch",2021-03-22,1,0,346,7
871,"Increased Rewards",34,"organic","Applewatch",2021-03-01,1,0,150,3
871,"Increased Rewards",34,"organic","Applewatch",2021-03-08,1,0,379,7
871,"Increased Rewards",34,"organic","Applewatch",2021-03-15,1,0,427,7
871,"Increased Rewards",34,"organic","Applewatch",2021-03-22,1,0,348,7
373,"Increased Rewards",42,"organic","FitBit",2021-03-01,1,1,150,3
373,"Increased Rewards",42,"organic","FitBit",2021-03-08,1,1,467,7
373,"Increased Rewards",42,"organic","FitBit",2021-03-15,1,0,338,7
373,"Increased Rewards",42,"organic","FitBit",2021-03-22,1,0,352,7
844,"Control",12,"referred","Applewatch",2021-03-01,1,0,150,3
844,"Control",12,"referred","Applewatch",2021-03-08,1,0,379,7
844,"Control",12,"referred","Applewatch",2021-03-15,0,0,140,3
844,"Control",12,"referred","Applewatch",2021-03-22,1,1,161,3
143,"Increased Rewards",26,"referred","Applewatch",2021-03-01,1,0,160,3
143,"Increased Rewards",26,"referred","Applewatch",2021-03-08,1,0,313,6
143,"Increased Rewards",26,"referred","Applewatch",2021-03-15,1,0,423,7
143,"Increased Rewards",26,"referred","Applewatch",2021-03-22,1,1,336,7
544,"Increased Rewards",29,"referred","Garmin",2021-03-01,1,0,649,7
544,"Increased Rewards",29,"referred","Garmin",2021-03-08,1,0,187,4
544,"Increased Rewards",29,"referred","Garmin",2021-03-15,1,0,560,7
544,"Increased Rewards",29,"referred","Garmin",2021-03-22,1,0,220,4
490,"Increased Rewards",34,"referred","Applewatch",2021-03-01,1,0,273,5
490,"Increased Rewards",34,"referred","Applewatch",2021-03-08,1,0,291,6
490,"Increased Rewards",34,"referred","Applewatch",2021-03-15,1,1,374,7
490,"Increased Rewards",34,"referred","Applewatch",2021-03-22,1,0,321,6
621,"Control",17,"referred","Applewatch",2021-03-01,1,1,150,3
621,"Control",17,"referred","Applewatch",2021-03-08,1,1,251,5
621,"Control",17,"referred","Applewatch",2021-03-15,1,0,312,6
621,"Control",17,"referred","Applewatch",2021-03-22,1,0,384,7
775,"Control",36,"referred","Applewatch",2021-03-01,0,0,105,2
775,"Control",36,"referred","Applewatch",2021-03-08,1,0,514,7
775,"Control",36,"referred","Applewatch",2021-03-15,1,0,221,4
775,"Control",36,"referred","Applewatch",2021-03-22,1,0,416,7
905,"Control",32,"organic","Applewatch",2021-03-01,1,1,150,3
905,"Control",32,"organic","Applewatch",2021-03-08,1,0,150,3
905,"Control",32,"organic","Applewatch",2021-03-15,0,0,154,3
905,"Control",32,"organic","Applewatch",2021-03-22,0,0,66,1
937,"Control",31,"organic","Applewatch",2021-03-01,0,0,29,1
937,"Control",31,"organic","Applewatch",2021-03-08,0,0,116,2
937,"Control",31,"organic","Applewatch",2021-03-15,0,0,100,2
937,"Control",31,"organic","Applewatch",2021-03-22,1,0,524,7
842,"Increased Rewards",33,"organic","Applewatch",2021-03-01,1,0,500,7
842,"Increased Rewards",33,"organic","Applewatch",2021-03-08,1,1,432,7
842,"Increased Rewards",33,"organic","Applewatch",2021-03-15,1,1,150,3
842,"Increased Rewards",33,"organic","Applewatch",2021-03-22,1,0,310,6
23,"Increased Rewards",27,"referred","Applewatch",2021-03-01,1,0,369,7
23,"Increased Rewards",27,"referred","Applewatch",2021-03-08,1,0,372,7
23,"Increased Rewards",27,"referred","Applewatch",2021-03-15,1,0,318,6
23,"Increased Rewards",27,"referred","Applewatch",2021-03-22,1,1,562,7
923,"Increased Rewards",37,"organic","Applewatch",2021-03-01,0,0,121,2
923,"Increased Rewards",37,"organic","Applewatch",2021-03-08,1,0,419,7
923,"Increased Rewards",37,"organic","Applewatch",2021-03-15,1,0,173,3
923,"Increased Rewards",37,"organic","Applewatch",2021-03-22,1,0,150,3
309,"Control",35,"referred","FitBit",2021-03-01,1,0,496,7
309,"Control",35,"referred","FitBit",2021-03-08,1,0,299,6
309,"Control",35,"referred","FitBit",2021-03-15,0,0,195,4
309,"Control",35,"referred","FitBit",2021-03-22,1,0,452,7
135,"Increased Rewards",27,"referred","Garmin",2021-03-01,1,1,327,7
135,"Increased Rewards",27,"referred","Garmin",2021-03-08,1,0,638,7
135,"Increased Rewards",27,"referred","Garmin",2021-03-15,1,1,261,5
135,"Increased Rewards",27,"referred","Garmin",2021-03-22,1,0,436,7
821,"Increased Rewards",39,"paid_ad","Applewatch",2021-03-01,1,0,529,7
821,"Increased Rewards",39,"paid_ad","Applewatch",2021-03-08,1,1,257,5
821,"Increased Rewards",39,"paid_ad","Applewatch",2021-03-15,1,0,671,7
821,"Increased Rewards",39,"paid_ad","Applewatch",2021-03-22,1,1,430,7
954,"Control",31,"organic","Applewatch",2021-03-01,1,1,851,7
954,"Control",31,"organic","Applewatch",2021-03-08,1,1,150,3
954,"Control",31,"organic","Applewatch",2021-03-15,1,0,336,7
954,"Control",31,"organic","Applewatch",2021-03-22,1,0,256,5
224,"Increased Rewards",35,"organic","Applewatch",2021-03-01,1,0,276,6
224,"Increased Rewards",35,"organic","Applewatch",2021-03-08,1,0,628,7
224,"Increased Rewards",35,"organic","Applewatch",2021-03-15,1,1,313,6
224,"Increased Rewards",35,"organic","Applewatch",2021-03-22,1,1,438,7
166,"Increased Rewards",23,"referred","Applewatch",2021-03-01,1,0,568,7
166,"Increased Rewards",23,"referred","Applewatch",2021-03-08,1,1,150,3
166,"Increased Rewards",23,"referred","Applewatch",2021-03-15,1,0,150,3
166,"Increased Rewards",23,"referred","Applewatch",2021-03-22,1,0,204,4
217,"Increased Rewards",44,"organic","Applewatch",2021-03-01,1,1,532,7
217,"Increased Rewards",44,"organic","Applewatch",2021-03-08,1,0,172,3
217,"Increased Rewards",44,"organic","Applewatch",2021-03-15,1,0,241,5
217,"Increased Rewards",44,"organic","Applewatch",2021-03-22,1,1,275,6
290,"Control",29,"paid_ad","Applewatch",2021-03-01,1,0,150,3
290,"Control",29,"paid_ad","Applewatch",2021-03-08,1,0,715,7
290,"Control",29,"paid_ad","Applewatch",2021-03-15,0,0,172,3
290,"Control",29,"paid_ad","Applewatch",2021-03-22,1,0,216,4
581,"Increased Rewards",37,"referred","Applewatch",2021-03-01,1,0,150,3
581,"Increased Rewards",37,"referred","Applewatch",2021-03-08,1,1,473,7
581,"Increased Rewards",37,"referred","Applewatch",2021-03-15,0,0,72,1
581,"Increased Rewards",37,"referred","Applewatch",2021-03-22,1,0,150,3
72,"Control",28,"referred","Applewatch",2021-03-01,1,0,319,6
72,"Control",28,"referred","Applewatch",2021-03-08,1,1,259,5
72,"Control",28,"referred","Applewatch",2021-03-15,0,0,114,2
72,"Control",28,"referred","Applewatch",2021-03-22,0,0,138,3
588,"Increased Rewards",26,"referred","Applewatch",2021-03-01,1,0,186,4
588,"Increased Rewards",26,"referred","Applewatch",2021-03-08,1,0,267,5
588,"Increased Rewards",26,"referred","Applewatch",2021-03-15,1,0,731,7
588,"Increased Rewards",26,"referred","Applewatch",2021-03-22,1,0,270,5
575,"Increased Rewards",36,"organic","Applewatch",2021-03-01,1,0,292,6
575,"Increased Rewards",36,"organic","Applewatch",2021-03-08,1,1,310,6
575,"Increased Rewards",36,"organic","Applewatch",2021-03-15,1,0,453,7
575,"Increased Rewards",36,"organic","Applewatch",2021-03-22,1,0,329,7
141,"Control",13,"organic","Applewatch",2021-03-01,1,0,526,7
141,"Control",13,"organic","Applewatch",2021-03-08,1,1,177,4
141,"Control",13,"organic","Applewatch",2021-03-15,1,1,211,4
141,"Control",13,"organic","Applewatch",2021-03-22,0,0,48,1
722,"Control",33,"organic","Applewatch",2021-03-01,1,0,295,6
722,"Control",33,"organic","Applewatch",2021-03-08,1,0,150,3
722,"Control",33,"organic","Applewatch",2021-03-15,1,0,471,7
722,"Control",33,"organic","Applewatch",2021-03-22,1,0,345,7
865,"Control",32,"organic","Applewatch",2021-03-01,1,1,150,3
865,"Control",32,"organic","Applewatch",2021-03-08,0,0,19,0
865,"Control",32,"organic","Applewatch",2021-03-15,1,0,150,3
865,"Control",32,"organic","Applewatch",2021-03-22,0,0,66,1
859,"Increased Rewards",3,"referred","Applewatch",2021-03-01,1,0,549,7
859,"Increased Rewards",3,"referred","Applewatch",2021-03-08,1,0,167,3
859,"Increased Rewards",3,"referred","Applewatch",2021-03-15,1,0,230,5
859,"Increased Rewards",3,"referred","Applewatch",2021-03-22,1,0,194,4
153,"Control",32,"organic","Applewatch",2021-03-01,1,1,445,7
153,"Control",32,"organic","Applewatch",2021-03-08,1,1,217,4
153,"Control",32,"organic","Applewatch",2021-03-15,1,0,874,7
153,"Control",32,"organic","Applewatch",2021-03-22,0,0,26,1
294,"Control",8,"referred","Applewatch",2021-03-01,1,0,515,7
294,"Control",8,"referred","Applewatch",2021-03-08,1,0,520,7
294,"Control",8,"referred","Applewatch",2021-03-15,0,0,21,0
294,"Control",8,"referred","Applewatch",2021-03-22,0,0,10,0
277,"Control",35,"referred","Applewatch",2021-03-01,1,0,150,3
277,"Control",35,"referred","Applewatch",2021-03-08,1,0,292,6
277,"Control",35,"referred","Applewatch",2021-03-15,1,1,396,7
277,"Control",35,"referred","Applewatch",2021-03-22,1,0,506,7
999,"Control",24,"paid_ad","Applewatch",2021-03-01,0,0,69,1
999,"Control",24,"paid_ad","Applewatch",2021-03-08,1,0,150,3
999,"Control",24,"paid_ad","Applewatch",2021-03-15,0,0,118,2
999,"Control",24,"paid_ad","Applewatch",2021-03-22,1,0,230,5
41,"Control",22,"referred","Applewatch",2021-03-01,1,1,386,7
41,"Control",22,"referred","Applewatch",2021-03-08,1,0,742,7
41,"Control",22,"referred","Applewatch",2021-03-15,1,1,422,7
41,"Control",22,"referred","Applewatch",2021-03-22,1,0,524,7
431,"Increased Rewards",29,"organic","Applewatch",2021-03-01,1,0,596,7
431,"Increased Rewards",29,"organic","Applewatch",2021-03-08,1,1,150,3
431,"Increased Rewards",29,"organic","Applewatch",2021-03-15,1,0,150,3
431,"Increased Rewards",29,"organic","Applewatch",2021-03-22,1,0,343,7
90,"Increased Rewards",42,"referred","Applewatch",2021-03-01,1,0,541,7
90,"Increased Rewards",42,"referred","Applewatch",2021-03-08,1,0,252,5
90,"Increased Rewards",42,"referred","Applewatch",2021-03-15,1,0,495,7
90,"Increased Rewards",42,"referred","Applewatch",2021-03-22,1,0,150,3
316,"Increased Rewards",23,"referred","Applewatch",2021-03-01,1,0,474,7
316,"Increased Rewards",23,"referred","Applewatch",2021-03-08,1,0,517,7
316,"Increased Rewards",23,"referred","Applewatch",2021-03-15,1,0,504,7
316,"Increased Rewards",23,"referred","Applewatch",2021-03-22,1,0,612,7
223,"Increased Rewards",34,"referred","FitBit",2021-03-01,1,0,255,5
223,"Increased Rewards",34,"referred","FitBit",2021-03-08,1,0,348,7
223,"Increased Rewards",34,"referred","FitBit",2021-03-15,1,0,381,7
223,"Increased Rewards",34,"referred","FitBit",2021-03-22,1,1,281,6
528,"Control",32,"referred","Applewatch",2021-03-01,0,0,126,3
528,"Control",32,"referred","Applewatch",2021-03-08,0,0,66,1
528,"Control",32,"referred","Applewatch",2021-03-15,1,1,258,5
528,"Control",32,"referred","Applewatch",2021-03-22,0,0,62,1
116,"Control",17,"organic","Garmin",2021-03-01,1,0,183,4
116,"Control",17,"organic","Garmin",2021-03-08,1,0,884,7
116,"Control",17,"organic","Garmin",2021-03-15,0,0,0,0
116,"Control",17,"organic","Garmin",2021-03-22,0,0,19,0
606,"Control",12,"referred","Applewatch",2021-03-01,1,0,150,3
606,"Control",12,"referred","Applewatch",2021-03-08,1,0,408,7
606,"Control",12,"referred","Applewatch",2021-03-15,1,0,150,3
606,"Control",12,"referred","Applewatch",2021-03-22,1,0,316,6
774,"Increased Rewards",9,"organic","FitBit",2021-03-01,1,0,150,3
774,"Increased Rewards",9,"organic","FitBit",2021-03-08,1,1,408,7
774,"Increased Rewards",9,"organic","FitBit",2021-03-15,0,0,128,3
774,"Increased Rewards",9,"organic","FitBit",2021-03-22,1,0,652,7
747,"Control",34,"organic","Applewatch",2021-03-01,1,0,404,7
747,"Control",34,"organic","Applewatch",2021-03-08,1,0,150,3
747,"Control",34,"organic","Applewatch",2021-03-15,1,0,253,5
747,"Control",34,"organic","Applewatch",2021-03-22,1,0,188,4
456,"Control",28,"referred","Applewatch",2021-03-01,0,0,92,2
456,"Control",28,"referred","Applewatch",2021-03-08,1,0,620,7
456,"Control",28,"referred","Applewatch",2021-03-15,1,0,398,7
456,"Control",28,"referred","Applewatch",2021-03-22,1,1,255,5
598,"Control",46,"referred","Applewatch",2021-03-01,1,0,413,7
598,"Control",46,"referred","Applewatch",2021-03-08,1,0,314,6
598,"Control",46,"referred","Applewatch",2021-03-15,1,0,332,7
598,"Control",46,"referred","Applewatch",2021-03-22,1,0,543,7
854,"Control",34,"organic","Applewatch",2021-03-01,0,0,186,4
854,"Control",34,"organic","Applewatch",2021-03-08,0,0,60,1
854,"Control",34,"organic","Applewatch",2021-03-15,1,0,247,5
854,"Control",34,"organic","Applewatch",2021-03-22,1,1,495,7
39,"Increased Rewards",37,"referred","Applewatch",2021-03-01,1,0,316,6
39,"Increased Rewards",37,"referred","Applewatch",2021-03-08,1,0,150,3
39,"Increased Rewards",37,"referred","Applewatch",2021-03-15,1,0,150,3
39,"Increased Rewards",37,"referred","Applewatch",2021-03-22,1,1,150,3
159,"Control",41,"referred","Applewatch",2021-03-01,1,1,595,7
159,"Control",41,"referred","Applewatch",2021-03-08,1,0,419,7
159,"Control",41,"referred","Applewatch",2021-03-15,0,0,65,1
159,"Control",41,"referred","Applewatch",2021-03-22,0,0,138,3
752,"Increased Rewards",24,"organic","Applewatch",2021-03-01,0,0,70,1
752,"Increased Rewards",24,"organic","Applewatch",2021-03-08,1,0,603,7
752,"Increased Rewards",24,"organic","Applewatch",2021-03-15,1,0,283,6
752,"Increased Rewards",24,"organic","Applewatch",2021-03-22,1,0,325,6
209,"Control",33,"referred","Applewatch",2021-03-01,0,0,180,4
209,"Control",33,"referred","Applewatch",2021-03-08,1,0,150,3
209,"Control",33,"referred","Applewatch",2021-03-15,1,0,433,7
209,"Control",33,"referred","Applewatch",2021-03-22,1,0,349,7
988,"Increased Rewards",37,"organic","Applewatch",2021-03-01,1,1,402,7
988,"Increased Rewards",37,"organic","Applewatch",2021-03-08,1,0,520,7
988,"Increased Rewards",37,"organic","Applewatch",2021-03-15,1,0,520,7
988,"Increased Rewards",37,"organic","Applewatch",2021-03-22,1,1,377,7
994,"Control",42,"organic","FitBit",2021-03-01,0,0,154,3
994,"Control",42,"organic","FitBit",2021-03-08,0,0,42,1
994,"Control",42,"organic","FitBit",2021-03-15,1,0,419,7
994,"Control",42,"organic","FitBit",2021-03-22,1,0,265,5
34,"Increased Rewards",36,"organic","Applewatch",2021-03-01,1,0,150,3
34,"Increased Rewards",36,"organic","Applewatch",2021-03-08,1,1,366,7
34,"Increased Rewards",36,"organic","Applewatch",2021-03-15,1,1,506,7
34,"Increased Rewards",36,"organic","Applewatch",2021-03-22,1,0,365,7
516,"Increased Rewards",33,"organic","Applewatch",2021-03-01,1,0,150,3
516,"Increased Rewards",33,"organic","Applewatch",2021-03-08,1,0,281,6
516,"Increased Rewards",33,"organic","Applewatch",2021-03-15,1,0,387,7
516,"Increased Rewards",33,"organic","Applewatch",2021-03-22,1,0,555,7
13,"Control",20,"referred","Applewatch",2021-03-01,1,1,150,3
13,"Control",20,"referred","Applewatch",2021-03-08,0,0,175,4
13,"Control",20,"referred","Applewatch",2021-03-15,1,0,150,3
13,"Control",20,"referred","Applewatch",2021-03-22,1,0,230,5
69,"Increased Rewards",36,"organic","Garmin",2021-03-01,0,0,64,1
69,"Increased Rewards",36,"organic","Garmin",2021-03-08,1,0,470,7
69,"Increased Rewards",36,"organic","Garmin",2021-03-15,1,0,387,7
69,"Increased Rewards",36,"organic","Garmin",2021-03-22,1,0,150,3
895,"Control",33,"referred","Applewatch",2021-03-01,0,0,110,2
895,"Control",33,"referred","Applewatch",2021-03-08,1,1,326,7
895,"Control",33,"referred","Applewatch",2021-03-15,0,0,55,1
895,"Control",33,"referred","Applewatch",2021-03-22,1,0,417,7
755,"Increased Rewards",35,"referred","Applewatch",2021-03-01,0,0,187,4
755,"Increased Rewards",35,"referred","Applewatch",2021-03-08,0,0,124,2
755,"Increased Rewards",35,"referred","Applewatch",2021-03-15,1,0,307,6
755,"Increased Rewards",35,"referred","Applewatch",2021-03-22,1,1,326,7
409,"Control",33,"paid_ad","Applewatch",2021-03-01,1,0,360,7
409,"Control",33,"paid_ad","Applewatch",2021-03-08,1,0,150,3
409,"Control",33,"paid_ad","Applewatch",2021-03-15,0,0,81,2
409,"Control",33,"paid_ad","Applewatch",2021-03-22,1,0,239,5
308,"Increased Rewards",27,"referred","Applewatch",2021-03-01,0,0,55,1
308,"Increased Rewards",27,"referred","Applewatch",2021-03-08,1,0,467,7
308,"Increased Rewards",27,"referred","Applewatch",2021-03-15,1,0,383,7
308,"Increased Rewards",27,"referred","Applewatch",2021-03-22,0,0,45,1
278,"Increased Rewards",28,"referred","Applewatch",2021-03-01,1,0,506,7
278,"Increased Rewards",28,"referred","Applewatch",2021-03-08,1,1,464,7
278,"Increased Rewards",28,"referred","Applewatch",2021-03-15,1,0,441,7
278,"Increased Rewards",28,"referred","Applewatch",2021-03-22,1,0,598,7
89,"Increased Rewards",35,"referred","Applewatch",2021-03-01,1,0,259,5
89,"Increased Rewards",35,"referred","Applewatch",2021-03-08,1,0,150,3
89,"Increased Rewards",35,"referred","Applewatch",2021-03-15,1,0,479,7
89,"Increased Rewards",35,"referred","Applewatch",2021-03-22,1,0,670,7
537,"Increased Rewards",30,"paid_ad","Applewatch",2021-03-01,1,0,463,7
537,"Increased Rewards",30,"paid_ad","Applewatch",2021-03-08,1,0,300,6
537,"Increased Rewards",30,"paid_ad","Applewatch",2021-03-15,1,0,557,7
